"Participant","Session","Scenario","ldg","app","alt","spd","time","oddball","oddball_RT","oddball_RT_log","oddball_percentage","oddball_percentage_log","TLX","TLX_raw","TLX_weighted","simu_global_perf","workload_global"
"P006",3,"VFR-low",-0.422039306744009,-0.86477213250563,0.274758111479908,0.133771621856862,1.50193041476608,-0.435786280717143,0.541837275628852,-0.612789552087443,7.8947368421053,2.06619631492982,0.518178055763782,56.6666666666667,69.333318,-0.0119625203580206,0.0411958875233193
"P007",3,"VFR-low",0.152467634909442,1.4353579941236,0.649063554380088,-0.0406818458914773,0.172204450089979,0.286059075195127,0.672462079283277,-0.396809556778848,13.4328358208955,2.59770214393334,-0.833590785359126,38.3333333333333,46.3333185,0.393378676869105,-0.273765855081999
"P008",3,"VFR-low",0.819530487773093,0.153948532508862,-0.13029283930415,0.725271788112611,-0.827961951882833,0.561621791994822,0.686571514232014,-0.376044886975314,23.4375,3.15433730373063,1.07117439985951,64.1666666666667,65.999994,0.315957024524411,0.816398095927168
"P009",3,"VFR-low",-1.08240063779975,-1.81294998540299,-0.522065881518275,-1.02955203974497,-0.792962150450067,1.75279163033657,1.08963578279572,0.0858434961783218,30.7692307692308,3.42651518964645,1.25550651455809,66.6666666666667,71.6666445,-1.05658976368735,1.50414907244733
"P010",3,"VFR-low",0.288960493014907,0.217197462689954,1.559904257553,1.42845208846421,-0.0246202204125838,0.513776499273576,0.774218856816866,-0.25590068461639,10.4651162790698,2.34804746707081,-0.280594441263393,45.8333333333333,58.333316,0.59272423545015,0.116591029005091
"P011",3,"VFR-low",0.331433776847434,0.284821082562,-1.09218657044353,-1.16579734723593,0.625172709196262,0.748475506369602,0.754837708600271,-0.281252508335686,21.5189873417722,3.06893567757729,1.25550651455809,66.6666666666667,63.33333,-0.0696250081492063,1.00199101046385
"P012",3,"VFR-low",0.326676854631901,0.693535478361705,-0.379056905820147,-0.361145299078437,2.38490245522181,-0.430788900623155,0.611347720568611,-0.492089380920013,4,1.38629436111989,-1.14081097652342,34.1666666666667,42.6666495,0.4814061011555,-0.785799938573286
"P013",3,"VFR-low",-0.113242556995283,-1.16056385632172,0.925630842131794,-0.0726054974013549,0.219609646154407,-0.504451559556245,0.640156633546183,-0.446042392656436,2.5641025641026,0.941608539858458,-1.07936693829056,35,42.333321,-0.0584863526136448,-0.791909248923403
"P014",3,"VFR-low",1.91626751028179,1.09230693921636,0.293698756583182,1.05558321943569,0.140607741357027,-1.17990202687809,0.54822307573397,-0.601073002358412,1.1904761904762,0.174353387144789,0.763954208695216,60,66.3333155,1.15383650260155,-0.207973909091436
"P015",3,"VFR-low",0.75421422172014,-0.729939198138398,-0.597100870956359,-0.454440335240315,-0.439516576221077,0.952971711940888,0.85819764625103,-0.152920849086327,17.0212765957447,2.83446412595787,0.702510170462359,59.1666666666667,73.999994,-0.0314638583953665,0.827740941201623
